case_id	phase	component	cut	prefix_parity_map_blocks_accepted	prefix_parity_map_filemark_accepted	prefix_media_barrier_proved	prefix_sink_journal	prefix_sink_checkpoint	component_block_streams_accepted	component_filemark_commands_accepted	component_media_barriers_proved	sink_journal_components	checkpoint_components	sqlite_components	sealed_checkpoint	intent_present	final_sqlite	expected_checkpoint_progress	expected_completed_replicas	expected_resume
terminal_prefix-before_terminal_prefix	prefix	parity_closeout	before_terminal_prefix	0	0	0	0	0	0	0	0	0	0	0	0	1	0	BeforeReplicaA	0	finish-terminal-prefix
terminal_prefix-before_final_parity_map	prefix	parity_closeout	before_final_parity_map	0	0	0	0	0	0	0	0	0	0	0	0	1	0	BeforeReplicaA	0	finish-terminal-prefix
terminal_prefix-after_final_parity_map	prefix	parity_closeout	after_final_parity_map	1	1	0	0	0	0	0	0	0	0	0	0	1	0	BeforeReplicaA	0	finish-terminal-prefix
terminal_prefix-after_terminal_prefix	prefix	parity_closeout	after_terminal_prefix	1	1	1	1	1	0	0	0	0	0	0	0	1	0	BeforeReplicaA	0	replica_a
replica_a-before_footer	component	replica_a	before_footer	1	1	1	1	1	0	0	0	0	0	0	0	1	0	BeforeReplicaA	0	reconcile-current
replica_a-after_footer	component	replica_a	after_footer	1	1	1	1	1	1	0	0	0	0	0	0	1	0	BeforeReplicaA	0	reconcile-current
replica_a-before_filemark	component	replica_a	before_filemark	1	1	1	1	1	1	0	0	0	0	0	0	1	0	BeforeReplicaA	0	reconcile-current
replica_a-after_filemark	component	replica_a	after_filemark	1	1	1	1	1	1	1	0	0	0	0	0	1	0	BeforeReplicaA	0	reconcile-current
replica_a-before_barrier	component	replica_a	before_barrier	1	1	1	1	1	1	1	0	0	0	0	0	1	0	BeforeReplicaA	0	reconcile-current
replica_a-after_barrier	component	replica_a	after_barrier	1	1	1	1	1	1	1	1	0	0	0	0	1	0	BeforeReplicaA	0	reconcile-current
replica_a-before_parity_journal_fsync	component	replica_a	before_parity_journal_fsync	1	1	1	1	1	1	1	1	0	0	0	0	1	0	BeforeReplicaA	0	reconcile-current
replica_a-after_parity_journal_fsync	component	replica_a	after_parity_journal_fsync	1	1	1	1	1	1	1	1	1	0	0	0	1	0	BeforeReplicaA	0	promote-sink-transition
replica_a-before_checkpoint_journal_fsync	component	replica_a	before_checkpoint_journal_fsync	1	1	1	1	1	1	1	1	1	0	0	0	1	0	BeforeReplicaA	0	promote-sink-transition
replica_a-after_checkpoint_journal_fsync	component	replica_a	after_checkpoint_journal_fsync	1	1	1	1	1	1	1	1	1	1	0	0	1	0	AfterReplicaA	1	repair-sqlite-then-continue
replica_a-before_sqlite_projection	component	replica_a	before_sqlite_projection	1	1	1	1	1	1	1	1	1	1	0	0	1	0	AfterReplicaA	1	repair-sqlite-then-continue
replica_a-after_sqlite_projection	component	replica_a	after_sqlite_projection	1	1	1	1	1	1	1	1	1	1	1	0	1	0	AfterReplicaA	1	continue
separation_ab-before_footer	component	separation_ab	before_footer	1	1	1	1	1	1	1	1	1	1	1	0	1	0	AfterReplicaA	1	reconcile-current
separation_ab-after_footer	component	separation_ab	after_footer	1	1	1	1	1	2	1	1	1	1	1	0	1	0	AfterReplicaA	1	reconcile-current
separation_ab-before_filemark	component	separation_ab	before_filemark	1	1	1	1	1	2	1	1	1	1	1	0	1	0	AfterReplicaA	1	reconcile-current
separation_ab-after_filemark	component	separation_ab	after_filemark	1	1	1	1	1	2	2	1	1	1	1	0	1	0	AfterReplicaA	1	reconcile-current
separation_ab-before_barrier	component	separation_ab	before_barrier	1	1	1	1	1	2	2	1	1	1	1	0	1	0	AfterReplicaA	1	reconcile-current
separation_ab-after_barrier	component	separation_ab	after_barrier	1	1	1	1	1	2	2	2	1	1	1	0	1	0	AfterReplicaA	1	reconcile-current
separation_ab-before_parity_journal_fsync	component	separation_ab	before_parity_journal_fsync	1	1	1	1	1	2	2	2	1	1	1	0	1	0	AfterReplicaA	1	reconcile-current
separation_ab-after_parity_journal_fsync	component	separation_ab	after_parity_journal_fsync	1	1	1	1	1	2	2	2	2	1	1	0	1	0	AfterReplicaA	1	promote-sink-transition
separation_ab-before_checkpoint_journal_fsync	component	separation_ab	before_checkpoint_journal_fsync	1	1	1	1	1	2	2	2	2	1	1	0	1	0	AfterReplicaA	1	promote-sink-transition
separation_ab-after_checkpoint_journal_fsync	component	separation_ab	after_checkpoint_journal_fsync	1	1	1	1	1	2	2	2	2	2	1	0	1	0	AfterSeparationAb	1	repair-sqlite-then-continue
separation_ab-before_sqlite_projection	component	separation_ab	before_sqlite_projection	1	1	1	1	1	2	2	2	2	2	1	0	1	0	AfterSeparationAb	1	repair-sqlite-then-continue
separation_ab-after_sqlite_projection	component	separation_ab	after_sqlite_projection	1	1	1	1	1	2	2	2	2	2	2	0	1	0	AfterSeparationAb	1	continue
replica_b-before_footer	component	replica_b	before_footer	1	1	1	1	1	2	2	2	2	2	2	0	1	0	AfterSeparationAb	1	reconcile-current
replica_b-after_footer	component	replica_b	after_footer	1	1	1	1	1	3	2	2	2	2	2	0	1	0	AfterSeparationAb	1	reconcile-current
replica_b-before_filemark	component	replica_b	before_filemark	1	1	1	1	1	3	2	2	2	2	2	0	1	0	AfterSeparationAb	1	reconcile-current
replica_b-after_filemark	component	replica_b	after_filemark	1	1	1	1	1	3	3	2	2	2	2	0	1	0	AfterSeparationAb	1	reconcile-current
replica_b-before_barrier	component	replica_b	before_barrier	1	1	1	1	1	3	3	2	2	2	2	0	1	0	AfterSeparationAb	1	reconcile-current
replica_b-after_barrier	component	replica_b	after_barrier	1	1	1	1	1	3	3	3	2	2	2	0	1	0	AfterSeparationAb	1	reconcile-current
replica_b-before_parity_journal_fsync	component	replica_b	before_parity_journal_fsync	1	1	1	1	1	3	3	3	2	2	2	0	1	0	AfterSeparationAb	1	reconcile-current
replica_b-after_parity_journal_fsync	component	replica_b	after_parity_journal_fsync	1	1	1	1	1	3	3	3	3	2	2	0	1	0	AfterSeparationAb	1	promote-sink-transition
replica_b-before_checkpoint_journal_fsync	component	replica_b	before_checkpoint_journal_fsync	1	1	1	1	1	3	3	3	3	2	2	0	1	0	AfterSeparationAb	1	promote-sink-transition
replica_b-after_checkpoint_journal_fsync	component	replica_b	after_checkpoint_journal_fsync	1	1	1	1	1	3	3	3	3	3	2	0	1	0	AfterReplicaB	2	repair-sqlite-then-continue
replica_b-before_sqlite_projection	component	replica_b	before_sqlite_projection	1	1	1	1	1	3	3	3	3	3	2	0	1	0	AfterReplicaB	2	repair-sqlite-then-continue
replica_b-after_sqlite_projection	component	replica_b	after_sqlite_projection	1	1	1	1	1	3	3	3	3	3	3	0	1	0	AfterReplicaB	2	continue
separation_bc-before_footer	component	separation_bc	before_footer	1	1	1	1	1	3	3	3	3	3	3	0	1	0	AfterReplicaB	2	reconcile-current
separation_bc-after_footer	component	separation_bc	after_footer	1	1	1	1	1	4	3	3	3	3	3	0	1	0	AfterReplicaB	2	reconcile-current
separation_bc-before_filemark	component	separation_bc	before_filemark	1	1	1	1	1	4	3	3	3	3	3	0	1	0	AfterReplicaB	2	reconcile-current
separation_bc-after_filemark	component	separation_bc	after_filemark	1	1	1	1	1	4	4	3	3	3	3	0	1	0	AfterReplicaB	2	reconcile-current
separation_bc-before_barrier	component	separation_bc	before_barrier	1	1	1	1	1	4	4	3	3	3	3	0	1	0	AfterReplicaB	2	reconcile-current
separation_bc-after_barrier	component	separation_bc	after_barrier	1	1	1	1	1	4	4	4	3	3	3	0	1	0	AfterReplicaB	2	reconcile-current
separation_bc-before_parity_journal_fsync	component	separation_bc	before_parity_journal_fsync	1	1	1	1	1	4	4	4	3	3	3	0	1	0	AfterReplicaB	2	reconcile-current
separation_bc-after_parity_journal_fsync	component	separation_bc	after_parity_journal_fsync	1	1	1	1	1	4	4	4	4	3	3	0	1	0	AfterReplicaB	2	promote-sink-transition
