profile	block_size	structural_rows	object_rows	replica_records	gap_records	expected_eod_lba	component	bytes	sha256	edition_digest	layout_digest	payload_sha256	canonical_map_sha256
minimal-256k	262144	1	0	3	3	22	replica-a.bin	786432	f9acc897add55bace35d177615dac393d12e83fb32480004ea25c688464f9e87	9af88c952564857e23455049043c88e88df51dd94067005454f3ef8bbbac86fe	e462823b35a6dd1cc85ebf001cb20329ba96966b98745ca3de986afab2a6876f	e7adf90ba0a95266166c86affd31ad11801fe03b581e314f47eb35b07d5b2f13	4844cab0503375f6ec546eb944144f641975cf4a2840de39e8cce23653fab6cf
minimal-256k	262144	1	0	3	3	22	replica-b.bin	786432	f08a092f28bc402179a3da0ddcf5e7b63c020882a5f50a52ad564b13936e58d4	9af88c952564857e23455049043c88e88df51dd94067005454f3ef8bbbac86fe	e462823b35a6dd1cc85ebf001cb20329ba96966b98745ca3de986afab2a6876f	e7adf90ba0a95266166c86affd31ad11801fe03b581e314f47eb35b07d5b2f13	4844cab0503375f6ec546eb944144f641975cf4a2840de39e8cce23653fab6cf
minimal-256k	262144	1	0	3	3	22	replica-c.bin	786432	ac93786b4a9b7ee3a08f995fdf0aaa3930838daa84fdc7dc3ad3cf76ea71f540	9af88c952564857e23455049043c88e88df51dd94067005454f3ef8bbbac86fe	e462823b35a6dd1cc85ebf001cb20329ba96966b98745ca3de986afab2a6876f	e7adf90ba0a95266166c86affd31ad11801fe03b581e314f47eb35b07d5b2f13	4844cab0503375f6ec546eb944144f641975cf4a2840de39e8cce23653fab6cf
minimal-256k	262144	1	0	3	3	22	gap-ab.bin	786432	c774424a3da40a81fd3679c585d249de4761b2067a4a04b0ba6ccf42c98cc03f	9af88c952564857e23455049043c88e88df51dd94067005454f3ef8bbbac86fe	e462823b35a6dd1cc85ebf001cb20329ba96966b98745ca3de986afab2a6876f	e7adf90ba0a95266166c86affd31ad11801fe03b581e314f47eb35b07d5b2f13	4844cab0503375f6ec546eb944144f641975cf4a2840de39e8cce23653fab6cf
minimal-256k	262144	1	0	3	3	22	gap-bc.bin	786432	3deec071b0564e35da051199429d0cb2fa08e427e724a4231e436ee6e9b50697	9af88c952564857e23455049043c88e88df51dd94067005454f3ef8bbbac86fe	e462823b35a6dd1cc85ebf001cb20329ba96966b98745ca3de986afab2a6876f	e7adf90ba0a95266166c86affd31ad11801fe03b581e314f47eb35b07d5b2f13	4844cab0503375f6ec546eb944144f641975cf4a2840de39e8cce23653fab6cf
multi-256k	262144	6	2	3	3	45	replica-a.bin	786432	7255dfe82357c9d57b7551858a779329601009834302155d8f7f01d6a8e85dad	ce95b70ae580c9124b128c0d18b50ae20f56a8b820f8d7c96cc334284dea60e0	1bf82ffe0f048ddcc7b9af3a6b486dc3beb00be24e5cf8f42f54d78a7620d36a	2d7dcc3e247fbc4c981391ece8604de200b575661e7c06dc0fb8e7dabe13c3b4	f69b1bb72687cfc27172848896f2f18877b711b93fa1078fd79a3b0b5045eff8
multi-256k	262144	6	2	3	3	45	replica-b.bin	786432	36a5cb753e5cb6c7e5e2ccab13bff40a54bb30064a1d957b7eb9987ae386b958	ce95b70ae580c9124b128c0d18b50ae20f56a8b820f8d7c96cc334284dea60e0	1bf82ffe0f048ddcc7b9af3a6b486dc3beb00be24e5cf8f42f54d78a7620d36a	2d7dcc3e247fbc4c981391ece8604de200b575661e7c06dc0fb8e7dabe13c3b4	f69b1bb72687cfc27172848896f2f18877b711b93fa1078fd79a3b0b5045eff8
multi-256k	262144	6	2	3	3	45	replica-c.bin	786432	9ffe02a62cf68d55cb00c8da5c19850e79f1fb176c8a458683cf890b292967d6	ce95b70ae580c9124b128c0d18b50ae20f56a8b820f8d7c96cc334284dea60e0	1bf82ffe0f048ddcc7b9af3a6b486dc3beb00be24e5cf8f42f54d78a7620d36a	2d7dcc3e247fbc4c981391ece8604de200b575661e7c06dc0fb8e7dabe13c3b4	f69b1bb72687cfc27172848896f2f18877b711b93fa1078fd79a3b0b5045eff8
multi-256k	262144	6	2	3	3	45	gap-ab.bin	786432	4def9288ce1d8a05f28e1d8bde40b32ca4adf1dd2e49dce4283c3fc4a21cffed	ce95b70ae580c9124b128c0d18b50ae20f56a8b820f8d7c96cc334284dea60e0	1bf82ffe0f048ddcc7b9af3a6b486dc3beb00be24e5cf8f42f54d78a7620d36a	2d7dcc3e247fbc4c981391ece8604de200b575661e7c06dc0fb8e7dabe13c3b4	f69b1bb72687cfc27172848896f2f18877b711b93fa1078fd79a3b0b5045eff8
multi-256k	262144	6	2	3	3	45	gap-bc.bin	786432	681a0e15304e180577a87fbf1773cd66c9439102356d1103d1f57c5f85c0bd5e	ce95b70ae580c9124b128c0d18b50ae20f56a8b820f8d7c96cc334284dea60e0	1bf82ffe0f048ddcc7b9af3a6b486dc3beb00be24e5cf8f42f54d78a7620d36a	2d7dcc3e247fbc4c981391ece8604de200b575661e7c06dc0fb8e7dabe13c3b4	f69b1bb72687cfc27172848896f2f18877b711b93fa1078fd79a3b0b5045eff8
